icao,lat_deg,lon_deg,elev_m,name
KTOL,41.586800,-83.807800,208.2,Eugene F. Kranz Toledo Express Airport
KTPA,27.975500,-82.533203,7.9,Tampa International Airport
KTRI,36.475201,-82.407401,463.0,Tri-Cities Regional TN/VA Airport
KTRK,39.318628,-120.140562,1798.3,Truckee Tahoe Airport
KTTN,40.276699,-74.813499,64.9,Trenton Mercer Airport
KTUL,36.197084,-95.886225,206.3,Tulsa International Airport
KTUP,34.268101,-88.769897,105.5,Tupelo Regional Airport
KTUS,32.115004,-110.938053,805.6,Tucson International Airport
KTVC,44.741402,-85.582199,190.2,Cherry Capital Airport
KTVF,48.065701,-96.184998,341.1,Thief River Falls Regional Airport
KTWF,42.481800,-114.487999,1266.1,Joslin Field Magic Valley Regional Airport
KTXK,33.453701,-93.990997,118.9,Texarkana Regional Airport (Webb Field)
KTYR,32.354099,-95.402397,165.8,Tyler Pounds Regional Airport
KTYS,35.811001,-83.994003,299.0,McGhee Tyson Airport
KUIN,39.942699,-91.194603,234.1,Quincy Regional Airport Baldwin Field
KUNV,40.849374,-77.848520,377.6,State College Regional Airport
KUUU,41.532207,-71.281039,52.4,Newport State Airport
KVCT,28.852600,-96.918503,35.1,Victoria Regional Airport
KVEL,40.436214,-109.511661,1608.7,Vernal Regional Airport
KVLD,30.782499,-83.276703,61.9,Valdosta Regional Airport
KVPS,30.481315,-86.515839,26.5,Destin-Fort Walton Beach Airport
KVRB,27.655600,-80.417901,7.3,Vero Beach Regional Airport
KWST,41.349602,-71.803398,24.7,Westerly State Airport
KWYS,44.688400,-111.117996,2026.6,Yellowstone Airport
KXNA,36.281898,-94.306801,392.3,Northwest Arkansas National Airport
KXWA,48.260863,-103.751160,714.5,Williston Basin International Airport
KYKM,46.568199,-120.543999,335.0,Yakima Air Terminal McAllister Field
